family,websiteSku,graceSku,category,color,capacity,capacityMl,applicator,capColor,trimColor,capStyle,neckThreadSize,heightWithCap,heightWithoutCap,diameter,bottleWeightG,caseQuantity,qbPrice,webPrice1pc,webPrice12pc,stockStatus,itemName,itemDescription,productUrl,dataGrade,verified
Cylinder,GBCyl100AnSpTslPnk,GB-CYL-CLR-100ML-AST-PNK,Glass Bottle,Clear,100 ml (3.38 oz),100.0,Antique Sprayer Tassel,Pink,,,18-415,191 ±2 mm,154 ±2 mm,35 ±0.5 mm,28.93,793.0,6.65,6.65,6.32,In Stock,Cylinder 100 ml (3.38 oz) Clear Glass Bottle with Antique Sprayer Tassel Pink Cap,"Cylinderdesign100 ml,  3 1/2oz Clear glass bottle  withPink vintage style bulb sprayer with tasselandshiny gold collar cap.",https://www.bestbottles.com/product/cylinder-design-100-ml-glass-bottle-pink-vintage-style-sprayer-with-tassel-shiny-gold-collar,A,True
Elegant,GBElg60SpryCu,GB-ELG-CLR-60ML-SPR-CPR,Glass Bottle,Clear,60 ml (2.03 oz),60.0,Sprayer,Copper,,,18-415,111 ±2 mm,86 ±1 mm,39 ±0.5 mm,116.0,224.0,2.75,2.75,2.61,In Stock,Elegant 60 ml (2.03 oz) Clear Glass Bottle with Sprayer Copper Cap,"Elegantdesign60 ml,  2oz Clear glass bottle  withmatte copper spray pump00.",https://www.bestbottles.com/product/elegant-design-60-ml-glass-bottle-matte-copper-spray-and-cap,A,True
Circle,GBCrclFrst100AnSpTslWht,GB-CIR-FRS-100ML-ASP-06,Glass Bottle,Frosted,100 ml (3.38 oz),100.0,Antique Sprayer,,,,18-415,125 ±2 mm,100 ±1 mm,78 ±1 mm,99.0,270.0,3.65,3.65,3.47,In Stock,Circle 100 ml (3.38 oz) Frosted Glass Bottle with Antique Sprayer,"Circle design 100 ml, 3 1/2oz frosted glass bottle with white vintage style bulb sprayer with tassel and shiny silver collar cap. For use with cologne, Eau de Parfum, air freshener, face and body spray, or room spray.",,B — no cap color; no thread,True
Sleek,GBSlk30RdcrPnkLthr,GB-SLK-CLR-30ML-RDC-PKLT,Glass Bottle,Clear,30 ml (1.01 oz),30.0,Reducer,Pink Leather,,,18-415,112 ±2 mm,98 ±1 mm,37 ±0.5 mm,80.0,288.0,1.8,1.8,1.71,In Stock,Sleek 30 ml (1.01 oz) Clear Glass Bottle with Reducer Pink Leather Cap,"Sleekdesign30 ml,  1oz Clear glass bottle  withreducerandpink faux leather cap.",https://www.bestbottles.com/product/sleek-design-30-ml-glass-bottle-reducer-pink-faux-leather-cap,A,True
Round,GBRndFrst78SpryShnGl,GB-RND-FRS-78ML-SPR-SGLD,Glass Bottle,Frosted,78 ml (2.64 oz),78.0,Sprayer,Shiny Gold,,,18-415,97 ±1 mm,73 ±1 mm,59 ±1 mm,108.16,287.0,3.55,3.55,3.37,In Stock,Round 78 ml (2.64 oz) Frosted Glass Bottle with Sprayer Shiny Gold Cap,"Rounddesign78 ml,  2.65ozFrosted glass bottlewithshiny gold spray pump.",https://www.bestbottles.com/product/round-design-78-ml-frosted-glass-bottle-shiny-gold-spray-pump-and-cap,A,True
Diva,GBDiva100RdcrLBrwnLthr,GB-DVA-CLR-100ML-RDC-LBLT,Glass Bottle,Clear,100 ml (3.38 oz),100.0,Reducer,Light Brown Leather,,,18-415,126 ±2 mm,113 ±2 mm,64 ±1 mm,85.0,280.0,2.7,2.7,2.57,In Stock,Diva 100 ml (3.38 oz) Clear Glass Bottle with Reducer Light Brown Leather Cap,"Divadesign100 ml,  3 1/2oz Clear glass bottle  withreducerandlight brown faux leather cap.",https://www.bestbottles.com/product/diva-design-100-ml-glass-bottle-reducer-light-brown-faux-leather-cap,A,True
Boston Round,GBBstnBlu1ozMtlRollonMattBlk,GB-BSR-BLU-30ML-MRO-MBLK,Glass Bottle,Blue,30 ml (1.01 oz),30.0,Metal Roll-On,Matte Black,,,20-400,97 ±1 mm,78 ±1 mm,33 ±0.5 mm,55.44,360.0,1.07,1.07,1.02,In Stock,Boston Round 30 ml (1.01 oz) Blue Glass Bottle with Metal Roll-On Matte Black Cap,"Boston rounddesign30ml,1oz Cobalt blue glass bottlewithmetal roller plugandmatte black cap.",https://www.bestbottles.com/product/boston-round-design-1-oz-cobalt-blue-glass-bottle-metal-roller-ball-matte-black-cap,A,True
Empire,GBEmp100SpryShnGl,GB-EMP-CLR-100ML-SPR-SGLD,Glass Bottle,Clear,100 ml (3.38 oz),100.0,Sprayer,Shiny Gold,,,18-415,132 ±2 mm,107 ±2 mm,78 ±1 mm,75.08,,3.5,3.5,3.33,In Stock,Empire 100 ml (3.38 oz) Clear Glass Bottle with Sprayer Shiny Gold Cap,"Empiredesign100 ml,  3 1/2oz Clear glass bottle  withshiny gold spray pump0.",https://www.bestbottles.com/product/empire-design-100-ml-glass-bottle-shiny-gold-spray-pump-and-cap,A,True
Rectangle,GBSQSTClear,GB-RCT-CLR-9ML-T-02,Glass Bottle,Clear,9 ml (0.3 oz),9.0,,Clear,,Tall,,64 ±1 mm,47 ±0.5 mm,20 ±0.5 mm,39.25,288.0,3.2,3.2,3.04,Out of Stock,Rectangle 9 ml (0.3 oz) Clear Glass Bottle Tall Cap,Clear glass rectangular shaped bottle with glass stopper. Capacity : 9ml (1/3oz),https://www.bestbottles.com/product/Perfume-small-Bottle-Jar-Rectangular-Clear-glass-stopper,C — no applicator; no thread,True
Diamond,GBDmnd2ozAnSpTslIvySl,GB-DMD-CLR-60ML-AST-IVSL,Glass Bottle,Clear,60 ml (2.03 oz),60.0,Antique Sprayer Tassel,Ivory,Silver,,18-415,110 ±2 mm,88 ±1 mm,39 ±0.5 mm,114.0,192.0,6.5,6.5,6.18,In Stock,Diamond 60 ml (2.03 oz) Clear Glass Bottle with Antique Sprayer Tassel Ivory Silver Cap,"Diamonddesign60ml,2 ounce Clear glass bottle  withIvory vintage style bulb sprayer with tasselwithshiny silver collar cap.",https://www.bestbottles.com/product/diamond-design-2-oz-glass-bottle-ivory-vintage-style-sprayer-with-tassel-shiny-silver-collar,A,True
Grace,GBGrce55RdcrShnSl,GB-GRC-CLR-55ML-RDC-SSLV,Glass Bottle,Clear,55 ml (1.86 oz),55.0,Reducer,Shiny Silver,,,18-415,117 ±2 mm,113 ±2 mm,55 ±0.5 mm,89.0,220.0,1.67,1.67,1.59,In Stock,Grace 55 ml (1.86 oz) Clear Glass Bottle with Reducer Shiny Silver Cap,"Gracedesign55 ml,  1.85oz Clear glass bottle  withreducerandshiny silver cap.",https://www.bestbottles.com/product/grace-design-55-ml-glass-bottle-reducer-shiny-silver-cap,A,True
